base,reconciliation,level,nodes,rmsse,mase,rmsse_se
seasonal_naive,middle_out,state,3,0.8525231350943553,0.9232957545307157,0.027756168763659928
seasonal_naive,middle_out,store,10,0.8390829080991511,0.9051649206421633,0.0457473373793955
seasonal_naive,middle_out,store_cat,30,1.0068703973316688,1.1255121537179575,0.04510504464213929
seasonal_naive,middle_out,store_dept,70,1.1072865564645322,1.2770096379666198,0.06729737708591753
seasonal_naive,middle_out,total,1,0.7388287750845545,0.7828729500366415,
seasonal_naive,ols,bottom,30490,1.214806688705933,1.844555309218634,0.0036685314138828356
seasonal_naive,ols,state,3,0.8525231351433566,0.9232957546378353,0.027756168778047305
seasonal_naive,ols,store,10,0.8390829081390075,0.9051649207082969,0.04574733737942751
seasonal_naive,ols,store_cat,30,0.957037252780374,1.0292037641915437,0.03698424725801234
seasonal_naive,ols,store_dept,70,1.0366879486087377,1.1315043405553122,0.035678926011942
seasonal_naive,ols,total,1,0.7388287750888517,0.782872950040886,
seasonal_naive,top_down,bottom,30490,0.9597877237918591,1.6044388535611018,0.0030989253028234644
seasonal_naive,top_down,state,3,0.9042260141578732,0.9654605955695724,0.16444256301613946
seasonal_naive,top_down,store,10,1.306034421459349,1.6030411119008332,0.20582174177972454
seasonal_naive,top_down,store_cat,30,1.1891084235481935,1.3688912575503083,0.10072443441856065
seasonal_naive,top_down,store_dept,70,1.2237178527642452,1.425918507579618,0.08983642761619054
seasonal_naive,top_down,total,1,0.7388287750845574,0.7828729500366519,
seasonal_naive,wls_struct,bottom,30490,1.214806688677278,1.8445553079845958,0.003668531413762511
seasonal_naive,wls_struct,state,3,0.8525231350941792,0.9232957545306335,0.027756168763587132
seasonal_naive,wls_struct,store,10,0.8390829080991544,0.9051649206422072,0.045747337379349724
seasonal_naive,wls_struct,store_cat,30,0.957037252863962,1.029203764199742,0.03698424729350344
seasonal_naive,wls_struct,store_dept,70,1.0366879480462206,1.13150434049033,0.03567892608757057
seasonal_naive,wls_struct,total,1,0.738828775084399,0.7828729500364509,
seasonal_naive,wls_var,bottom,30490,1.2148066887080273,1.8445553079086534,0.0036685314139317258
seasonal_naive,wls_var,state,3,0.8525231350655801,0.923295754525622,0.02775616874032813
seasonal_naive,wls_var,store,10,0.8390829081021997,0.9051649206786132,0.04574733738020702
seasonal_naive,wls_var,store_cat,30,0.9570372528378804,1.0292037642033807,0.036984247277931405
seasonal_naive,wls_var,store_dept,70,1.0366879481108346,1.131504340550409,0.03567892608941358
seasonal_naive,wls_var,total,1,0.7388287750414921,0.782872950002171,
ses,base,bottom,30490,0.9144404056908138,1.6287456723072975,0.002736710993128676
ses,base,state,3,1.1214588130297605,1.2900862298529903,0.11504605233616277
ses,base,store,10,1.3051949899802113,1.5767110073944832,0.20338952150970074
ses,base,store_cat,30,1.1462676352112122,1.3219506352216117,0.08472154499239172
ses,base,store_dept,70,1.0978773609660926,1.2573092228102802,0.05256759440185493
ses,base,total,1,1.16351696539278,1.3635004461623248,
ses,bottom_up,bottom,30490,0.9144404056908138,1.6287456723072975,0.002736710993128676
